Car ID,Chosen Path,Time Taken,Optimal Path (Empty System),Optimal Time (Empty System)
0,"['City 1', 'B', 'C', 'City 2']",103,"['City 1', 'A', 'C', 'City 2']",102.0
1,"['City 1', 'B', 'C', 'City 2']",103,"['City 1', 'A', 'C', 'City 2']",102.0
2,"['City 1', 'B', 'C', 'City 2']",103,"['City 1', 'A', 'C', 'City 2']",102.0
3,"['City 1', 'B', 'C', 'City 2']",103,"['City 1', 'A', 'C', 'City 2']",102.0
4,"['City 1', 'B', 'C', 'City 2']",103,"['City 1', 'A', 'C', 'City 2']",102.0
5,"['City 1', 'B', 'C', 'City 2']",104,"['City 1', 'A', 'C', 'City 2']",102.0
6,"['City 1', 'B', 'C', 'City 2']",104,"['City 1', 'A', 'C', 'City 2']",102.0
7,"['City 1', 'B', 'C', 'City 2']",104,"['City 1', 'A', 'C', 'City 2']",102.0
8,"['City 1', 'B', 'C', 'City 2']",105,"['City 1', 'A', 'C', 'City 2']",102.0
9,"['City 1', 'B', 'C', 'City 2']",106,"['City 1', 'A', 'C', 'City 2']",102.0
10,"['City 1', 'B', 'C', 'City 2']",121,"['City 1', 'A', 'C', 'City 2']",102.0
11,"['City 1', 'B', 'C', 'City 2']",121,"['City 1', 'A', 'C', 'City 2']",102.0
12,"['City 1', 'B', 'C', 'City 2']",121,"['City 1', 'A', 'C', 'City 2']",102.0
13,"['City 1', 'B', 'C', 'City 2']",127,"['City 1', 'A', 'C', 'City 2']",102.0
14,"['City 1', 'B', 'C', 'City 2']",127,"['City 1', 'A', 'C', 'City 2']",102.0
15,"['City 1', 'B', 'C', 'City 2']",127,"['City 1', 'A', 'C', 'City 2']",102.0
16,"['City 1', 'B', 'C', 'City 2']",163,"['City 1', 'A', 'C', 'City 2']",102.0
17,"['City 1', 'B', 'C', 'City 2']",163,"['City 1', 'A', 'C', 'City 2']",102.0
18,"['City 1', 'B', 'C', 'City 2']",163,"['City 1', 'A', 'C', 'City 2']",102.0
19,"['City 1', 'B', 'C', 'City 2']",163,"['City 1', 'A', 'C', 'City 2']",102.0
20,"['City 1', 'B', 'C', 'City 2']",163,"['City 1', 'A', 'C', 'City 2']",102.0
21,"['City 1', 'B', 'C', 'City 2']",164,"['City 1', 'A', 'C', 'City 2']",102.0
22,"['City 1', 'B', 'C', 'City 2']",164,"['City 1', 'A', 'C', 'City 2']",102.0
23,"['City 1', 'B', 'C', 'City 2']",164,"['City 1', 'A', 'C', 'City 2']",102.0
24,"['City 1', 'B', 'C', 'City 2']",165,"['City 1', 'A', 'C', 'City 2']",102.0
25,"['City 1', 'B', 'C', 'City 2']",166,"['City 1', 'A', 'C', 'City 2']",102.0
26,"['City 1', 'B', 'C', 'City 2']",181,"['City 1', 'A', 'C', 'City 2']",102.0
27,"['City 1', 'B', 'C', 'City 2']",181,"['City 1', 'A', 'C', 'City 2']",102.0
28,"['City 1', 'B', 'C', 'City 2']",181,"['City 1', 'A', 'C', 'City 2']",102.0
29,"['City 1', 'B', 'C', 'City 2']",187,"['City 1', 'A', 'C', 'City 2']",102.0
30,"['City 1', 'B', 'C', 'City 2']",187,"['City 1', 'A', 'C', 'City 2']",102.0
31,"['City 1', 'B', 'C', 'City 2']",187,"['City 1', 'A', 'C', 'City 2']",102.0
32,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
33,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
34,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
35,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
36,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
37,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
38,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
39,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
40,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
41,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
42,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
43,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
44,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
45,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
46,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
